id	AA	BA	CA	DA	EA	FA	AB	BB	CB	DB	EB	FB	AC	BC	CC	DC	EC	FC	AD	BD	CD	DD	ED	FD	AE	BE	CE	DE	EE	FE	AF	BF	CF	DF	EF	FF	label
1gndA	0	0	0	0	0	0	0	18	3	38	23	11	0	1	0	5	3	1	0	41	3	72	40	18	0	26	4	39	28	12	0	6	0	20	16	1	3
1gpmA	0	0	0	0	0	0	0	23	4	39	27	10	0	1	0	2	2	2	0	37	1	85	64	19	0	30	1	66	29	13	0	12	1	14	17	1	3
1grjA	0	0	0	0	0	0	0	14	1	18	8	1	0	0	0	0	0	1	0	14	0	21	19	4	0	10	0	17	12	2	0	5	0	2	1	0	3
1grlA	0	0	0	0	0	0	0	26	0	45	37	4	0	2	0	1	0	0	0	49	2	110	75	6	0	29	1	78	35	3	0	5	0	8	0	1	3
1gtpA	0	0	0	0	0	0	0	10	1	16	16	0	0	0	0	1	0	1	0	17	0	48	31	5	0	11	1	34	13	4	0	4	0	3	3	1	3
1gtqA	0	0	0	0	0	0	0	8	1	11	7	2	0	0	0	1	0	0	0	7	0	25	18	6	0	11	0	17	10	2	0	2	0	2	6	1	3
1guaB	0	0	0	0	0	0	0	1	0	8	5	1	0	2	1	0	0	0	0	8	1	11	10	1	0	3	1	12	4	2	0	2	0	0	2	0	3
1hanA	0	0	0	0	0	0	0	7	1	21	12	4	0	0	0	2	0	0	0	21	0	60	44	15	0	16	1	35	9	8	0	1	0	22	4	4	3
1hfcA	0	0	0	0	0	0	0	9	0	16	6	6	0	0	0	0	0	0	0	13	0	35	16	10	0	12	0	12	3	1	0	3	0	11	3	0	3
1hqiA	0	0	0	0	0	0	0	13	0	4	10	2	0	0	0	0	0	0	0	8	0	12	7	1	0	6	0	8	9	3	0	1	0	4	1	0	3
1humA	0	0	0	0	0	0	0	1	0	6	4	3	0	0	1	1	2	0	0	6	2	17	2	2	0	3	0	4	2	3	0	3	1	2	2	1	3
1hxpA	0	0	0	0	0	0	0	12	1	40	6	11	0	2	0	2	2	0	0	36	3	72	36	14	0	14	0	27	17	8	0	6	2	21	4	3	3
1ibaA	0	0	0	0	0	0	0	4	0	6	4	0	0	0	0	1	0	0	0	3	0	19	13	3	0	5	1	10	3	1	0	2	0	1	1	0	3
1igdA	0	0	0	0	0	0	0	3	0	6	3	1	0	0	0	0	0	0	0	8	0	15	4	5	0	0	0	7	2	0	0	1	0	4	1	0	3
1kapP	0	0	0	0	0	0	0	24	0	56	20	7	0	0	0	0	0	0	0	47	0	106	40	31	0	24	0	35	17	10	0	12	0	28	8	4	3
1kifA	0	0	0	0	0	0	0	9	0	31	18	10	0	1	1	2	1	0	0	31	3	54	36	19	0	19	1	36	20	7	0	8	0	20	8	3	3
1kpaA	0	0	0	0	0	0	0	7	0	10	2	1	0	0	0	2	0	0	0	8	1	23	15	5	0	5	1	13	11	1	0	0	0	4	3	0	3
1kptA	0	0	0	0	0	0	0	4	0	13	5	0	0	3	0	4	2	1	0	10	8	21	9	1	0	4	1	9	3	2	0	1	0	2	1	0	3
1kuhA	0	0	0	0	0	0	0	8	0	16	3	7	0	0	0	2	0	0	0	18	2	31	9	4	0	5	0	8	2	2	0	3	0	7	3	1	3
1kvdA	0	0	0	0	0	0	0	0	0	3	3	1	0	0	0	2	0	0	0	5	1	18	7	4	0	1	1	9	3	0	0	1	0	3	0	0	3
1lbaA	0	0	0	0	0	0	0	5	0	15	4	5	0	0	0	2	1	0	0	14	2	35	17	3	0	8	1	11	7	3	0	2	0	8	1	1	3
1lbuA	0	0	0	0	0	0	0	4	2	19	8	3	0	1	0	4	0	1	0	21	3	63	18	14	0	8	0	22	2	0	0	3	1	11	3	1	3
1lgrA	0	0	0	0	0	0	0	18	1	36	22	9	0	0	0	2	2	0	0	42	1	105	47	16	0	21	1	50	22	9	0	5	1	19	9	6	3
1litA	0	0	0	0	0	0	0	5	2	13	3	3	0	0	0	1	1	3	0	14	2	23	11	8	0	5	1	7	4	4	0	1	1	14	2	2	3
1lmlA	0	0	0	0	0	0	0	16	5	43	17	8	0	2	0	11	3	2	0	34	11	98	55	20	0	25	2	44	19	7	0	11	0	22	4	5	3
1ltsA	0	0	0	0	0	0	0	9	0	17	6	5	0	0	0	1	0	0	0	14	1	42	17	12	0	11	0	13	5	5	0	3	0	13	6	4	3
1mbbA	0	0	0	0	0	0	0	18	1	31	20	6	0	2	0	1	3	0	0	32	4	57	38	14	0	17	1	41	19	6	0	7	0	15	4	2	3
1mkaA	0	0	0	0	0	0	0	2	0	16	8	3	0	0	0	2	0	0	0	14	1	33	20	7	0	12	1	15	14	4	0	1	0	9	5	3	3
1mlaA	0	0	0	0	0	0	0	10	2	20	16	7	0	0	0	4	1	0	0	29	3	74	35	9	0	11	0	45	16	3	0	6	0	7	6	0	3
1mliA	0	0	0	0	0	0	0	2	0	8	8	1	0	0	0	0	1	0	0	9	1	15	11	6	0	7	0	15	2	1	0	1	0	3	4	0	3
1mngA	0	0	0	0	0	0	0	9	0	13	14	6	0	0	0	0	0	0	0	19	0	38	21	11	0	10	0	23	8	5	0	4	0	15	3	3	3
1molA	0	0	0	0	0	0	0	7	0	7	2	6	0	0	0	1	0	0	0	5	0	17	10	6	0	6	1	8	3	1	0	4	0	5	4	0	3
1mrjA	0	0	0	0	0	0	0	11	0	20	11	5	0	0	0	0	0	0	0	22	0	49	33	9	0	12	0	32	14	5	0	3	0	11	5	4	3
1mskA	0	0	0	0	0	0	0	19	0	33	17	7	0	0	0	1	0	1	0	31	1	59	34	19	0	14	1	36	9	6	0	11	0	16	6	5	3
1mutA	0	0	0	0	0	0	0	9	0	14	7	3	0	0	0	0	0	0	0	14	0	18	15	5	0	5	0	17	5	3	0	5	0	3	3	2	3
1mxaA	0	0	0	0	0	0	0	13	2	37	17	5	0	1	0	3	0	0	0	37	2	83	43	14	0	20	0	35	28	8	0	3	0	21	3	2	3
1noxA	0	0	0	0	0	0	0	5	0	15	10	2	0	0	0	0	0	0	0	23	0	44	21	10	0	4	0	27	22	2	0	0	0	12	2	0	3
1npkA	0	0	0	0	0	0	0	1	0	18	3	3	0	0	0	0	0	0	0	13	0	33	22	4	0	9	0	15	13	3	0	1	0	6	3	2	3
1oacA	0	0	0	0	0	0	0	38	0	66	40	17	0	0	0	0	0	0	0	72	0	142	77	30	0	28	0	87	43	13	0	23	0	26	11	5	3
1ofgA	0	0	0	0	0	0	0	20	3	28	20	6	0	1	0	2	1	0	0	36	1	89	36	19	0	12	0	45	24	5	0	8	0	18	5	1	3
1ordA	0	0	0	0	0	0	0	36	4	74	34	26	0	1	0	0	3	2	0	83	1	127	62	32	0	31	1	71	38	15	0	22	0	34	19	13	3
1otfA	0	0	0	0	0	0	0	2	0	9	3	0	0	0	0	0	0	0	0	9	0	8	8	1	0	3	0	8	4	1	0	0	0	1	1	0	3
1otgA	0	0	0	0	0	0	0	6	0	9	7	3	0	1	0	0	0	0	0	8	1	23	16	6	0	8	0	16	5	3	0	2	0	6	4	0	3
1ounA	0	0	0	0	0	0	0	9	0	12	5	6	0	0	0	2	1	0	0	14	1	15	13	2	0	7	2	11	6	4	0	2	0	6	5	1	3
1paxA	0	0	0	0	0	0	0	9	0	35	24	8	0	0	0	1	0	1	0	31	1	65	40	12	0	27	1	39	22	5	0	9	0	9	8	2	3
1pbaA	0	0	0	0	0	0	0	10	0	8	8	2	0	0	0	0	0	0	0	4	0	12	7	3	0	9	0	6	3	1	0	4	0	1	1	1	3
1pbeA	0	0	0	0	0	0	0	6	2	39	19	4	0	1	0	2	2	0	0	39	2	81	47	16	0	18	1	46	21	10	0	5	0	17	8	4	3
1pdaA	0	0	0	0	0	0	0	10	3	30	14	3	0	2	0	1	1	0	0	26	1	59	47	2	0	20	0	42	20	4	0	3	0	3	4	0	3
1pilA	0	0	0	0	0	0	0	5	0	10	6	1	0	0	0	1	0	0	0	8	0	20	17	3	0	7	1	15	7	3	0	2	0	2	3	0	3
1pkpA	0	0	0	0	0	0	0	3	0	12	8	1	0	0	0	0	0	0	0	11	0	39	21	3	0	10	0	18	14	0	0	0	0	4	0	0	3
1plqA	0	0	0	0	0	0	0	12	1	20	20	8	0	2	0	2	0	0	0	24	2	33	32	6	0	14	1	33	20	6	0	8	0	9	3	1	3
1pmaB	0	0	0	0	0	0	0	5	0	13	17	1	0	0	0	0	0	0	0	16	0	40	25	6	0	13	0	29	18	6	0	2	0	6	5	0	3
1pmdA	0	0	0	0	0	0	0	32	0	82	30	13	0	0	0	0	0	0	0	68	0	135	79	26	0	43	0	65	32	15	0	13	0	27	14	0	3
1pneA	0	0	0	0	0	0	0	3	1	9	6	3	0	0	0	3	0	0	0	11	1	35	17	3	0	6	0	15	11	3	0	2	1	6	1	1	3
1pnkA	0	0	0	0	0	0	0	7	0	21	8	6	0	0	0	0	0	0	0	20	0	26	24	11	0	11	0	21	8	5	0	4	0	13	5	2	3
1prtB	0	0	0	0	0	0	0	6	1	14	1	6	0	0	0	2	3	1	0	13	3	50	23	8	0	5	1	22	8	5	0	4	0	10	6	3	3
1psdA	0	0	0	0	0	0	0	16	2	35	21	5	0	0	0	1	2	1	0	35	0	88	54	9	0	25	1	53	27	5	0	4	1	9	7	2	3
1ptfA	0	0	0	0	0	0	0	1	0	8	8	1	0	0	0	0	0	0	0	11	0	17	11	2	0	4	0	14	6	0	0	2	0	1	0	0	3
1pyaA	0	0	0	0	0	0	0	2	0	9	7	1	0	0	0	0	0	0	0	11	0	13	10	2	0	5	0	9	2	3	0	1	0	5	0	0	3
1qapA	0	0	0	0	0	0	0	14	0	29	22	2	0	0	0	0	1	2	0	28	2	53	39	3	0	22	0	36	13	7	0	4	0	7	3	1	3
1qbaA	0	0	0	0	0	0	0	36	2	95	45	13	0	1	0	4	1	0	0	88	2	176	82	52	0	45	2	81	30	13	0	22	0	44	12	11	3
1regX	0	0	0	0	0	0	0	7	0	14	6	1	0	0	0	1	0	0	0	9	1	11	18	6	0	7	0	14	10	4	0	4	0	5	2	1	3
1risA	0	0	0	0	0	0	0	7	0	9	10	2	0	0	0	0	0	0	0	9	0	9	12	2	0	11	0	10	6	1	0	1	0	4	1	2	3
1scuB	0	0	0	0	0	0	0	12	2	40	24	4	0	0	0	4	1	0	0	39	1	75	49	9	0	25	2	45	26	8	0	6	0	8	7	0	3
1seiA	0	0	0	0	0	0	0	3	0	17	3	1	0	0	0	0	0	0	0	12	0	23	23	1	0	7	0	16	11	5	0	2	0	3	2	0	3
1setA	0	0	0	0	0	0	0	16	0	40	26	5	0	0	0	2	0	0	0	38	2	82	51	21	0	28	0	46	22	7	0	5	0	23	5	1	3
1shaA	0	0	0	0	0	0	0	4	0	10	4	1	0	0	0	0	2	1	0	9	2	25	9	4	0	3	1	9	4	2	0	3	0	5	0	4	3
1slyA	0	0	0	0	0	0	0	35	2	64	26	15	0	1	0	1	0	0	0	60	0	123	67	29	0	33	0	58	26	12	0	14	0	33	10	8	3
1smnA	0	0	0	0	0	0	0	12	1	20	13	3	0	1	0	2	0	1	0	20	3	64	22	11	0	8	0	28	7	4	0	7	0	7	5	1	3
1spbP	0	0	0	0	0	0	0	3	0	6	4	0	0	0	0	0	0	0	0	8	0	19	8	2	0	2	0	7	2	3	0	1	0	5	0	0	3
1srsA	0	0	0	0	0	0	0	1	0	4	5	1	0	0	0	1	0	0	0	6	0	26	8	4	0	2	1	10	7	1	0	1	0	4	1	0	3
1ssoA	0	0	0	0	0	0	0	2	0	6	3	1	0	0	0	0	0	0	0	6	0	15	6	4	0	4	0	6	3	0	0	0	0	4	1	0	3
1stdA	0	0	0	0	0	0	0	5	0	16	3	8	0	0	0	1	0	0	0	14	0	25	22	10	0	7	1	17	5	4	0	7	0	11	4	1	3
1stuA	0	0	0	0	0	0	0	1	0	9	2	0	0	0	0	1	0	0	0	6	0	13	12	1	0	4	1	9	5	1	0	1	0	1	0	0	3
1tbdA	0	0	0	0	0	0	0	3	0	12	5	2	0	0	0	1	2	0	0	13	2	26	10	10	0	2	0	15	7	5	0	4	1	7	5	1	3
1tfeA	0	0	0	0	0	0	0	12	1	15	9	2	0	1	0	0	0	1	0	13	1	16	20	0	0	12	0	13	10	6	0	1	0	6	2	0	3
1tifA	0	0	0	0	0	0	0	8	0	8	5	1	0	0	0	0	1	0	0	6	1	15	6	2	0	6	0	5	6	1	0	2	0	2	0	0	3
1tigA	0	0	0	0	0	0	0	2	0	10	6	1	0	0	0	1	0	0	0	10	1	19	11	1	0	5	0	10	4	2	0	1	0	2	1	0	3
1tptA	0	0	0	0	0	0	0	15	0	42	19	4	0	0	0	1	1	0	0	37	1	97	67	12	0	20	1	64	23	8	0	7	0	10	7	3	3
1tysA	0	0	0	0	0	0	0	14	3	22	12	10	0	1	0	3	0	0	0	21	1	45	28	10	0	18	0	26	13	6	0	7	0	10	9	3	3
1uaeA	0	0	0	0	0	0	0	8	0	33	31	3	0	0	0	2	3	1	0	41	5	93	54	8	0	23	1	63	24	6	0	3	0	9	6	0	3
1ubiA	0	0	0	0	0	0	0	5	0	6	7	1	0	0	0	0	0	0	0	8	0	15	9	1	0	5	0	11	3	1	0	1	0	0	2	0	3
1udiI	0	0	0	0	0	0	0	8	0	13	4	1	0	0	0	0	0	0	0	10	0	9	6	2	0	7	0	4	15	0	0	1	0	2	0	0	3
1uplA	0	0	0	0	0	0	0	17	0	39	12	11	0	2	0	0	1	0	0	25	2	42	33	9	0	24	1	19	25	9	0	11	0	11	7	3	3
1vaoA	0	0	0	0	0	0	0	20	1	44	31	9	0	1	0	1	1	1	0	45	1	94	71	26	0	27	2	70	33	15	0	13	0	28	10	5	3
1vccA	0	0	0	0	0	0	0	6	0	6	2	3	0	0	0	0	0	0	0	7	0	12	8	3	0	2	0	10	4	2	0	2	0	2	4	3	3
1vhhA	0	0	0	0	0	0	0	8	0	17	4	6	0	0	0	2	0	0	0	19	2	29	20	5	0	4	0	20	4	2	0	4	0	7	2	1	3
1vigA	0	0	0	0	0	0	0	2	0	8	9	0	0	0	0	0	0	0	0	9	0	12	7	2	0	6	0	8	3	1	0	2	0	1	0	0	3
1vjwA	0	0	0	0	0	0	0	2	1	7	3	1	0	0	0	4	2	0	0	7	4	8	6	0	0	4	1	6	1	0	0	0	0	0	1	0	3
1xerA	0	0	0	0	0	0	0	2	0	7	8	3	0	0	0	4	2	1	0	10	2	21	8	2	0	5	5	11	3	0	0	3	0	0	3	1	3
1xxaA	0	0	0	0	0	0	0	2	0	6	4	2	0	0	0	0	0	0	0	6	0	14	7	2	0	5	0	8	9	0	0	1	0	1	3	0	3
1ytbA	0	0	0	0	0	0	0	5	1	9	5	4	0	0	0	2	0	0	0	10	1	41	20	13	0	6	0	25	18	1	0	3	0	9	6	0	3
1yuaA	0	0	0	0	0	0	0	5	1	16	4	0	0	0	0	1	0	0	0	17	0	29	11	5	0	3	0	7	3	6	0	1	0	8	2	2	3
2actA	0	0	0	0	0	0	0	13	2	14	13	5	0	3	0	3	0	0	0	20	4	38	21	12	0	5	0	23	9	6	0	6	0	17	1	1	3
2baaA	0	0	0	0	0	0	0	4	2	23	5	3	0	2	0	2	0	3	0	18	3	76	19	17	0	7	0	15	9	3	0	6	2	17	1	5	3
2bopA	0	0	0	0	0	0	0	4	0	9	2	1	0	1	0	2	0	0	0	6	1	19	9	6	0	3	0	7	3	1	0	2	2	5	0	1	3
2chsA	0	0	0	0	0	0	0	8	0	8	9	1	0	0	0	2	0	0	0	7	0	23	14	1	0	10	2	11	11	2	0	1	0	1	2	0	3
2cmdA	0	0	0	0	0	0	0	10	0	26	17	4	0	1	0	2	0	0	0	25	2	70	47	6	0	19	1	44	20	3	0	2	0	7	4	1	3
2gltA	0	0	0	0	0	0	0	9	1	36	17	4	0	1	0	1	0	2	0	32	0	44	36	8	0	18	3	29	23	7	0	6	0	10	5	3	3
2kauA	0	0	0	0	0	0	0	2	0	10	7	0	0	0	0	0	0	0	0	11	0	19	12	3	0	5	0	14	11	1	0	1	0	2	1	0	3
2ms2A	0	0	0	0	0	0	0	2	1	16	6	0	0	1	0	1	0	0	0	12	1	23	18	6	0	6	0	17	5	3	0	4	0	4	2	0	3
2phyA	0	0	0	0	0	0	0	3	0	15	8	4	0	0	0	1	0	0	0	13	1	20	13	6	0	9	0	12	2	2	0	5	0	5	2	3	3
2polA	0	0	0	0	0	0	0	16	2	33	23	4	0	0	0	2	2	0	0	30	2	66	49	11	0	26	0	46	26	5	0	6	0	11	3	2	3
2rebA	0	0	0	0	0	0	0	8	1	33	20	1	0	0	0	1	2	0	0	35	2	60	35	9	0	18	0	41	17	3	0	3	0	6	4	3	3
2sicI	0	0	0	0	0	0	0	2	1	5	3	3	0	1	0	2	1	0	0	7	3	35	10	3	0	4	0	14	6	0	0	0	0	2	4	0	3
2vikA	0	0	0	0	0	0	0	5	0	10	8	2	0	1	0	0	0	0	0	10	0	31	11	7	0	7	0	11	4	3	0	2	1	6	3	3	3
3fibA	0	0	0	0	0	0	0	13	2	22	9	9	0	2	0	1	0	1	0	27	2	52	16	17	0	5	0	22	4	5	0	9	0	17	6	7	3
3pmgA	0	0	0	0	0	0	0	20	1	51	24	14	0	1	0	1	3	0	0	56	2	115	63	24	0	20	2	71	34	7	0	13	0	21	11	5	3
3rubL	0	0	0	0	0	0	0	17	2	42	16	4	0	1	0	6	0	2	0	37	4	85	56	24	0	18	2	54	17	10	0	8	1	19	13	2	3
3rubS	0	0	0	0	0	0	0	6	0	12	6	4	0	1	0	2	0	0	0	11	1	13	13	7	0	8	2	6	4	6	0	2	0	12	4	2	3
4kbpA	0	0	0	0	0	0	0	8	0	40	11	16	0	0	0	0	1	0	0	45	1	84	43	30	0	17	0	36	15	10	0	5	0	43	8	10	3
7rsaA	0	0	0	0	0	0	0	1	2	18	3	3	0	3	0	3	1	1	0	18	5	25	10	3	0	4	0	9	3	2	0	1	1	7	0	0	3
