#fea,rf,knn,mlp,sum,prod,wsum,wprod,vote
71,81.31,78.08,67.47,85.86,85.86,85.86,84.85,84.85
72,82.22,77.07,67.98,88.89,86.87,88.89,86.87,88.89
73,82.02,77.47,70.81,86.87,86.87,86.87,86.87,84.85
74,78.79,76.36,68.89,86.87,84.85,86.87,84.85,86.87
75,81.21,77.88,66.26,84.85,83.84,84.85,83.84,84.85
76,81.21,75.56,67.98,83.84,82.83,84.85,82.83,83.84
77,82.63,75.86,70.81,87.88,86.87,87.88,86.87,88.89
78,80.51,75.25,68.28,84.85,84.85,84.85,84.85,83.84
79,82.53,77.58,68.08,84.85,85.86,84.85,85.86,86.87
80,82.53,78.59,73.74,84.85,83.84,85.86,83.84,83.84
81,82.22,75.86,66.16,83.84,83.84,84.85,84.85,83.84
82,81.52,77.47,65.35,84.85,83.84,84.85,83.84,84.85
83,81.01,79.19,68.89,86.87,86.87,86.87,87.88,87.88
84,79.49,75.56,69.90,83.84,84.85,84.85,84.85,83.84
